City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,trofors,65.53,13.41,55.4,76,75,4.7,NO,1595255907
1,albany,-35.02,117.89,50.0,81,90,6.93,AU,1595255907
2,la ronge,55.1,-105.28,62.6,88,75,3.36,CA,1595255907
3,bredasdorp,-34.53,20.04,64.4,72,40,5.82,ZA,1595255907
4,punta arenas,-53.15,-70.92,30.2,92,75,2.24,CL,1595255907
5,yellowknife,62.46,-114.35,70.0,82,20,2.24,CA,1595255907
6,meulaboh,4.14,96.13,80.22,84,100,3.76,ID,1595255907
7,jacareacanga,-6.22,-57.75,91.27,36,74,4.52,BR,1595255908
8,saint-philippe,-21.36,55.77,69.8,60,77,20.8,RE,1595255908
10,roebourne,-20.78,117.13,69.51,47,0,15.1,AU,1595255908
12,aksarka,66.56,67.8,64.62,57,98,7.4,RU,1595255851
13,jieshi,22.81,115.83,83.46,79,100,5.08,CN,1595255908
14,mayumba,-3.43,10.66,73.85,79,100,4.88,GA,1595255908
15,rikitea,-23.12,-134.97,68.47,57,85,13.09,PF,1595255908
16,terdal,16.5,75.05,79.18,80,100,10.78,IN,1595255909
17,ilulissat,69.22,-51.1,55.4,43,40,3.36,GL,1595255909
18,saratovskaya,44.71,39.22,97.0,36,0,11.18,RU,1595255909
19,talnakh,69.49,88.4,53.6,93,40,6.71,RU,1595255909
20,oban,56.41,-5.47,57.0,76,75,16.11,GB,1595255909
21,tuktoyaktuk,69.45,-133.04,44.6,87,90,9.17,CA,1595255857
22,luderitz,-26.65,15.16,82.4,24,0,8.05,NA,1595255910
23,jamestown,-15.94,-5.72,62.2,89,23,18.23,SH,1595255910
24,mbandaka,0.05,18.26,83.5,53,12,3.85,CD,1595255910
25,tuatapere,-46.13,167.68,39.0,83,99,3.0,NZ,1595255910
26,mecca,21.43,39.83,94.89,33,30,6.85,SA,1595255910
27,lebu,-37.62,-73.65,51.26,89,100,11.65,CL,1595255857
28,tadine,-21.55,167.88,67.15,77,8,10.0,NC,1595255911
29,deputatskiy,69.3,139.9,53.6,90,88,1.12,RU,1595255911
30,hithadhoo,-0.6,73.08,84.13,78,100,15.12,MV,1595255911
31,port hedland,-20.32,118.57,66.2,39,0,9.17,AU,1595255911
32,komatipoort,-25.43,31.95,73.4,33,0,3.36,ZA,1595255911
33,dikson,73.51,80.55,41.88,91,31,11.68,RU,1595255911
34,ushuaia,-54.8,-68.3,26.6,100,20,5.82,AR,1595255849
35,valdivia,-39.81,-73.25,42.8,100,98,2.24,CL,1595255912
36,saskylakh,71.92,114.08,53.01,61,99,5.19,RU,1595255912
37,bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1595255912
38,mahebourg,-20.41,57.7,71.6,60,75,11.41,MU,1595255912
39,torbay,47.67,-52.73,75.99,60,20,18.34,CA,1595255912
40,busselton,-33.65,115.33,50.0,61,100,10.18,AU,1595255913
41,banda aceh,5.56,95.32,80.8,82,100,7.29,ID,1595255913
42,santa maria del oro,25.93,-105.37,73.76,50,0,2.71,MX,1595255913
43,port alfred,-33.59,26.89,64.94,52,0,4.23,ZA,1595255913
44,new norfolk,-42.78,147.06,45.0,89,95,2.8,AU,1595255913
45,chokurdakh,70.63,147.92,63.95,53,87,9.55,RU,1595255863
46,san borja,-14.82,-66.85,88.18,48,23,5.59,BO,1595255914
47,mayor pablo lagerenza,-19.93,-60.77,92.61,28,15,16.91,PY,1595255914
48,geraldton,-28.77,114.6,53.6,71,0,4.7,AU,1595255914
49,longyearbyen,78.22,15.64,44.6,87,75,4.7,SJ,1595255832
50,qaanaaq,77.48,-69.36,46.29,78,97,1.28,GL,1595255914
51,panuco,22.05,-98.17,82.4,83,5,3.36,MX,1595255915
52,santa ines,-3.67,-45.38,86.09,55,90,6.87,BR,1595255915
53,vacha,55.8,42.77,63.81,92,83,6.08,RU,1595255915
55,touros,-5.2,-35.46,78.8,83,75,9.17,BR,1595255916
56,shimoda,34.67,138.95,71.01,94,100,4.29,JP,1595255916
58,zlutice,50.09,13.16,82.99,31,20,6.93,CZ,1595255916
60,puerto ayora,-0.74,-90.35,69.01,92,82,7.0,EC,1595255916
61,khatanga,71.97,102.5,53.58,71,22,6.73,RU,1595255916
62,hermanus,-34.42,19.23,64.0,70,0,4.0,ZA,1595255917
63,vila velha,-20.33,-40.29,78.8,69,40,3.36,BR,1595255858
64,yulara,-25.24,130.99,50.0,81,96,9.17,AU,1595255917
65,guarapari,-20.67,-40.5,77.0,71,12,6.08,BR,1595255917
66,isangel,-19.55,169.27,68.45,67,8,8.19,VU,1595255917
67,cape town,-33.93,18.42,66.99,48,0,6.93,ZA,1595255917
68,maumere,-8.62,122.21,75.88,77,0,1.23,ID,1595255917
69,coihaique,-45.58,-72.07,35.6,93,90,4.7,CL,1595255918
70,hobart,-42.88,147.33,45.0,70,90,9.17,AU,1595255619
72,berlevag,70.86,29.09,53.91,91,91,7.14,NO,1595255918
73,lakes entrance,-37.88,147.98,48.0,85,67,1.01,AU,1595255918
74,merauke,-8.47,140.33,75.67,85,67,14.03,ID,1595255919
75,thompson,55.74,-97.86,68.0,60,40,3.36,CA,1595255861
76,belaya gora,68.53,146.42,64.71,59,80,8.79,RU,1595255919
77,motygino,58.18,94.76,53.26,88,98,4.29,RU,1595255919
78,vaini,-21.2,-175.2,71.6,94,20,10.29,TO,1595255919
79,atuona,-9.8,-139.03,79.56,76,18,16.75,PF,1595255919
80,avarua,-21.21,-159.78,75.2,78,100,25.28,CK,1595255919
81,hilo,19.73,-155.09,75.2,78,90,4.7,US,1595255831
82,iquique,-20.22,-70.14,60.8,63,75,3.36,CL,1595255781
83,barrow,71.29,-156.79,35.6,95,90,11.41,US,1595255920
84,pankrushikha,53.83,80.34,70.72,81,4,8.03,RU,1595255920
85,tucurui,-3.77,-49.67,88.12,47,77,6.22,BR,1595255914
86,constitucion,23.99,-104.67,62.01,100,40,2.46,MX,1595255920
